agence,alternance,categorie,certificateur_nom_rncp,certificateur_nom_rs,code_rncp,code_rs,date_debut,date_fin,date_limite,distanciel,echelle_duree,formacode_code_rncp,formacode_code_rs,formacode_nom_rncp,formacode_nom_rs,intitule_formation,niveau_sortie_rncp,nsf_code_rncp,nsf_code_rs,nsf_nom_rncp,nsf_nom_rs,region,rncp_url,rs_url,siret_rncp,siret_rs,statut_registre_rncp,statut_registre_rs,titre_rncp,titre_rs,voie_acces
,False,Développement d'applications,,SIMPLON.CO,,5599,,,,False,,,"46250,70754",,"Gestion contenu site internet,logiciel gestion de contenu",Réaliser des applications web à l’aide d’un système de gestion de contenus - CMS,,,"326t,326",,"Programmation, mise en place de logiciels,Informatique, traitement de l'information, réseaux de transmission",,,https://www.francecompetences.fr/recherche/rs/5599/,,79279132900016,,Active,,Réaliser des applications web à l’aide d’un système de gestion de contenus (CMS),Après un parcours de formation continue
,False,Développement d'applications,,,,,,,,False,,,,,,Intégrer l’accessibilité numérique pour développer des sites inclusifs,,,,,,,,,,,,,,,"Après un parcours de formation continue,Par candidature individuelle,Par expérience."
,False,Développement d'applications,,SIMPLON.CO,,5038,,,,False,,,31090,,Programmation web,Objets connectés - Spécialisation,,,"255,326",,"Electricite, électronique,Informatique, traitement de l'information, réseaux de transmission",,,https://www.francecompetences.fr/recherche/rs/5038/,,79279132900016,,Active,,Industrialiser le prototype d’un objet connecté,"Après un parcours de formation continue,Par candidature individuelle,Par expérience."
,False,Développement d'applications,,,,,,,,False,,,,,,Développeur-se COBOL,,,,,,,,,,,,,,,
,False,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,37674,,,,,False,,"31090,46288,31006,70710",,"Programmation web,Qualité web,Sécurité informatique,logiciel gestion de contenu e-commerce",,"Développeur.euse informatique, option jeux vidéo 2D",Niveau 5,326t,,"Programmation, mise en place de logiciels",,,https://www.francecompetences.fr/recherche/rncp/37674/,,11000007200014,,Active,,TP - Développeur web et web mobile,,
,False,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,31114,5487,,,,False,,"46207,31010",31024,"Conduite projet multimédia,Architecture web",Méthode agile,Développeur-se  back-end JAVA EE,Niveau 5,326t,"310p,315p,300","Programmation, mise en place de logiciels","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",,https://www.francecompetences.fr/recherche/rncp/31114/,https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Inactive,Active,TP - Développeur web et web mobile,Gérer un projet en mobilisant les méthodes agiles,"En contrat de professionnalisation / en contrat d’apprentissage,Après un parcours de formation continue,Par expérience."
,False,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,31114,,,,,False,,"46207,31010",,"Conduite projet multimédia,Architecture web",,Développeur-euse Front-end,Niveau 5,326t,,"Programmation, mise en place de logiciels",,,https://www.francecompetences.fr/recherche/rncp/31114/,,11000007200014,,Inactive,,TP - Développeur web et web mobile,,
,False,Développement d'applications,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,,37873,,,,,False,,"31067,31036,31010,31084,31006",,"Analyse programmation,Administration base de données,Architecture web,Informatique de gestion,Sécurité informatique",,Advanced Apple Foundation Program - Concepteur-rice développeur-euse d'apps,Niveau 6,326t,,"Programmation, mise en place de logiciels",,,https://www.francecompetences.fr/recherche/rncp/37873/,,11000007200014,,Active,,TP - Concepteur développeur d'applications,,
,False,Métavers et XR,MINISTERE DU TRAVAIL DU PLEIN EMPLOI ET DE L' INSERTION,SIMPLON.CO,225,5487,,,,False,,31051,31024,Maintenance assistance informatique,Méthode agile,Technicien-ne d’assistance en Réalité Virtuelle,Niveau 4,326r,"310p,315p,300","Assistance informatique, maintenance de logiciels et réseaux","Spécialités plurivalentes des échanges et de la gestion (organisation , gestion),Spécialités plurivalentes des échanges et de la gestion (organisation, gestion),Spécialites plurivalentes des services",,"https://www.francecompetences.fr/recherche/rncp/225/#:~:text=RNCP225BC03%20%2D%20Assister%20ou%20d%C3%A9panner%20les%20clients%20ou%20les%20utilisateurs&text=Modalit%C3%A9s%20d'%C3%A9valuation-,Apporter%20un%20support%20technique%20dans%20un%20contexte%20commercial.,ou%20sur%20leurs%20%C3%A9quipements%20num%C3%A9riques.",https://www.francecompetences.fr/recherche/rs/5487/,11000007200014,79279132900016,Inactive,Active,TP - Technicien d’assistance en informatique,Gérer un projet en mobilisant les méthodes agiles,"En contrat de professionnalisation / en contrat d’apprentissage,Après un parcours de formation continue,Par expérience."
,False,Métavers et XR,SIMPLON.CO,,37524,,,,,False,,"31088,46266,31094",,"Programmation,Réalité virtuelle,Conduite projet informatique",,Développeur-euse Réalité Virtuelle/Réalité Augmentée - 3D temps réel,Niveau 7,"320t,326t",,"Réalisation du service,Programmation, mise en place de logiciels",,,https://www.francecompetences.fr/recherche/rncp/37524/,,79279132900016,,Active,,Concepteur intégrateur d'applications de réalité virtuelle et 3D temps réel,,
